iter	Passed	Remaining
0	58	58025
1	58	29249
2	59	19622
3	59	14831
4	59	11935
5	60	10015
6	61	8655
7	61	7614
8	61	6810
9	62	6164
10	62	5635
11	63	5197
12	63	4820
13	63	4500
14	64	4226
15	64	3985
16	65	3768
17	65	3574
18	65	3405
19	66	3261
20	66	3121
21	67	2996
22	67	2881
23	68	2774
24	68	2676
25	69	2585
26	69	2503
27	69	2426
28	70	2354
29	70	2285
30	71	2219
31	71	2161
32	71	2107
33	72	2054
34	72	2004
35	73	1956
36	73	1912
37	73	1870
38	74	1831
39	74	1795
40	75	1777
41	76	1743
42	76	1709
43	77	1676
44	77	1645
45	77	1614
46	78	1588
47	78	1561
48	79	1534
49	79	1512
50	79	1488
51	80	1465
52	80	1443
53	81	1422
54	81	1404
55	82	1383
56	82	1364
57	82	1346
58	83	1328
59	84	1321
60	84	1307
61	85	1294
62	85	1278
63	86	1263
64	86	1250
65	87	1235
66	87	1221
67	88	1207
68	88	1193
69	88	1179
70	89	1168
71	89	1156
72	90	1144
73	90	1132
74	90	1120
75	91	1109
76	91	1099
77	92	1088
78	92	1077
79	92	1067
80	93	1056
81	93	1048
82	93	1036
83	94	1027
84	94	1018
85	95	1009
86	95	1001
87	95	992
88	96	984
89	96	976
90	96	968
91	97	961
92	97	953
93	98	945
94	98	938
95	98	931
96	99	926
97	99	920
98	100	913
99	100	906
100	101	900
101	101	894
102	101	888
103	102	882
104	102	877
105	103	870
106	103	864
107	104	859
108	104	854
109	104	848
110	105	843
111	105	837
112	106	832
113	106	827
114	106	821
115	107	817
116	107	811
117	107	806
118	108	801
119	108	796
120	109	792
121	109	786
122	109	782
123	110	778
124	110	774
125	111	770
126	111	765
127	112	766
128	112	762
129	113	758
130	113	754
131	114	751
132	114	747
133	114	742
134	115	738
135	115	735
136	116	731
137	116	727
138	116	723
139	117	720
140	117	716
141	117	712
142	118	708
143	118	705
144	118	701
145	119	698
146	119	695
147	120	692
148	120	689
149	121	690
150	122	687
151	122	685
152	123	682
153	123	679
154	124	676
155	124	673
156	124	670
157	125	667
158	125	664
159	126	661
160	126	658
161	126	655
162	127	653
163	127	650
164	128	647
165	128	645
166	128	642
167	129	639
168	129	636
169	129	634
170	130	631
171	130	629
172	131	626
173	131	624
174	131	621
175	132	618
176	132	615
177	132	613
178	133	610
179	133	608
180	133	606
181	134	603
182	134	601
183	135	599
184	135	597
185	136	595
186	136	592
187	136	590
188	137	588
189	137	587
190	138	584
191	138	582
192	138	580
193	139	578
194	139	576
195	140	574
196	140	572
197	141	571
198	141	568
199	141	566
200	142	565
201	142	563
202	142	561
203	143	559
204	143	557
205	144	555
206	144	553
207	144	551
208	145	549
209	145	548
210	146	545
211	146	544
212	146	542
213	147	540
214	147	538
215	147	536
216	148	535
217	148	533
218	149	532
219	149	530
220	149	528
221	150	527
222	150	525
223	151	523
224	151	521
225	151	520
226	152	518
227	152	517
228	153	515
229	153	513
230	153	512
231	154	510
232	154	509
233	155	507
234	155	506
235	155	504
236	156	502
237	156	501
238	156	499
239	157	498
240	157	496
241	158	495
242	158	494
243	159	492
244	159	491
245	159	490
246	160	488
247	160	487
248	161	485
249	161	484
250	161	483
251	162	481
252	162	480
253	163	479
254	163	477
255	163	476
256	164	475
257	164	473
258	165	472
259	165	471
260	165	469
261	166	468
262	166	467
263	167	465
264	167	464
265	167	463
266	168	461
267	168	460
268	168	458
269	169	457
270	169	456
271	170	455
272	170	454
273	170	453
274	171	451
275	171	450
276	172	448
277	172	447
278	172	446
279	173	445
280	173	444
281	174	443
282	174	442
283	174	440
284	175	439
285	175	438
286	176	437
287	176	436
288	176	435
289	177	434
290	177	432
291	178	431
292	178	430
293	178	429
294	179	428
295	179	427
296	180	426
297	180	425
298	180	424
299	181	423
300	181	422
301	182	420
302	182	419
303	182	418
304	183	417
305	183	416
306	184	415
307	184	414
308	184	413
309	185	412
310	185	411
311	186	410
312	186	409
313	187	408
314	187	407
315	187	406
316	188	405
317	188	404
318	189	403
319	189	402
320	189	401
321	190	400
322	190	399
323	191	398
324	191	397
325	191	396
326	192	396
327	192	395
328	193	394
329	193	393
330	194	392
331	194	391
332	194	390
333	195	389
334	195	388
335	196	387
336	196	386
337	196	385
338	197	384
339	197	383
340	198	383
341	198	382
342	199	381
343	199	380
344	199	379
345	200	378
346	200	377
347	201	376
348	201	375
349	201	374
350	202	374
351	202	373
352	203	372
353	203	371
354	204	370
355	204	369
356	204	368
357	205	367
358	205	367
359	205	366
360	206	365
361	206	364
362	207	363
363	207	362
364	207	361
365	208	360
366	208	359
367	208	358
368	209	357
369	209	357
370	210	356
371	210	355
372	210	354
373	211	353
374	211	353
375	212	352
376	212	351
377	212	350
378	213	349
379	213	349
380	214	348
381	214	347
382	215	346
383	215	345
384	215	344
385	216	343
386	216	343
387	216	342
388	217	341
389	217	340
390	218	339
391	218	338
392	218	337
393	219	337
394	219	336
395	220	335
396	220	335
397	220	334
398	221	333
399	221	332
400	222	331
401	222	331
402	222	330
403	223	329
404	223	328
405	224	327
406	224	327
407	224	326
408	225	325
409	225	325
410	226	324
411	226	323
412	227	322
413	227	321
414	227	321
415	228	320
416	228	319
417	229	318
418	229	318
419	229	317
420	230	316
421	230	316
422	231	315
423	231	314
424	231	313
425	232	313
426	232	312
427	233	311
428	233	310
429	233	310
430	234	309
431	234	308
432	235	307
433	235	307
434	235	306
435	236	305
436	236	305
437	237	304
438	237	303
439	237	302
440	238	302
441	238	301
442	239	300
443	239	299
444	240	299
445	240	298
446	240	298
447	241	298
448	242	297
449	242	296
450	243	295
451	243	295
452	243	294
453	244	293
454	244	293
455	245	292
456	245	291
457	246	291
458	246	290
459	246	289
460	247	289
461	247	288
462	247	287
463	248	287
464	248	286
465	249	285
466	249	284
467	250	284
468	250	283
469	250	282
470	251	282
471	251	281
472	251	280
473	252	280
474	252	279
475	253	278
476	253	278
477	253	277
478	254	276
479	254	275
480	255	275
481	255	274
482	255	273
483	256	273
484	256	272
485	256	271
486	257	271
487	257	270
488	258	269
489	258	269
490	258	268
491	259	267
492	259	267
493	260	266
494	260	265
495	260	265
496	261	264
497	261	263
498	262	263
499	262	262
500	262	261
501	263	261
502	263	260
503	264	260
504	264	259
505	264	258
506	265	258
507	265	257
508	266	256
509	266	256
510	266	255
511	267	254
512	267	254
513	268	253
514	268	252
515	268	252
516	269	251
517	269	250
518	270	250
519	270	249
520	270	248
521	271	248
522	271	247
523	271	247
524	272	246
525	272	245
526	273	245
527	273	244
528	274	244
529	274	243
530	275	242
531	275	242
532	275	241
533	276	240
534	276	240
535	276	239
536	277	239
537	277	238
538	278	237
539	278	237
540	278	236
541	279	236
542	279	235
543	280	234
544	280	234
545	280	233
546	281	233
547	281	232
548	282	231
549	282	231
550	282	230
551	283	230
552	283	229
553	284	228
554	284	228
555	285	227
556	285	227
557	285	226
558	286	225
559	286	225
560	287	224
561	287	224
562	288	223
563	288	222
564	288	222
565	289	221
566	289	221
567	289	220
568	290	219
569	290	219
570	291	218
571	291	218
572	291	217
573	292	216
574	292	216
575	293	215
576	293	215
577	293	214
578	294	213
579	294	213
580	295	212
581	295	212
582	295	211
583	296	211
584	296	210
585	297	209
586	297	209
587	297	208
588	298	208
589	298	207
590	299	207
591	300	206
592	300	206
593	300	205
594	301	205
595	301	204
596	302	203
597	302	203
598	302	202
599	303	202
600	303	201
601	304	201
602	304	200
603	305	199
604	305	199
605	305	198
606	306	198
607	306	197
608	306	197
609	307	196
610	307	195
611	308	195
612	308	194
613	308	194
614	309	193
615	309	193
616	310	192
617	310	191
618	311	191
619	311	190
620	311	190
621	312	189
622	312	189
623	312	188
624	313	188
625	313	187
626	314	186
627	314	186
628	315	185
629	315	185
630	315	184
631	316	184
632	316	183
633	317	183
634	317	182
635	317	181
636	318	181
637	318	180
638	318	180
639	319	179
640	319	179
641	320	178
642	320	177
643	320	177
644	321	176
645	321	176
646	322	175
647	322	175
648	322	174
649	323	174
650	323	173
651	324	172
652	324	172
653	324	171
654	325	171
655	325	170
656	326	170
657	326	169
658	326	169
659	327	168
660	327	167
661	327	167
662	328	166
663	328	166
664	328	165
665	329	165
666	329	164
667	330	164
668	330	163
669	330	163
670	331	162
671	331	161
672	332	161
673	332	160
674	332	160
675	333	159
676	333	159
677	334	158
678	334	158
679	334	157
680	335	157
681	335	156
682	336	156
683	336	155
684	337	155
685	337	154
686	338	153
687	338	153
688	338	152
689	339	152
690	339	151
691	339	151
692	340	150
693	340	150
694	340	149
695	341	149
696	341	148
697	342	148
698	342	147
699	342	146
700	343	146
701	343	145
702	343	145
703	344	144
704	344	144
705	345	143
706	345	143
707	345	142
708	346	142
709	346	141
710	347	141
711	347	140
712	347	140
713	348	139
714	348	139
715	349	138
716	349	137
717	349	137
718	350	136
719	350	136
720	351	135
721	351	135
722	351	134
723	352	134
724	352	133
725	353	133
726	353	132
727	353	132
728	354	131
729	354	131
730	354	130
731	355	130
732	355	129
733	356	129
734	356	128
735	356	128
736	357	127
737	357	126
738	358	126
739	358	125
740	358	125
741	359	124
742	359	124
743	360	123
744	360	123
745	360	122
746	361	122
747	361	121
748	361	121
749	362	120
750	362	120
751	363	119
752	363	119
753	364	118
754	364	118
755	364	117
756	365	117
757	365	116
758	365	116
759	366	115
760	366	115
761	367	114
762	367	114
763	367	113
764	368	113
765	368	112
766	369	112
767	369	111
768	370	111
769	370	110
770	370	110
771	371	109
772	371	109
773	372	108
774	372	108
775	372	107
776	373	107
777	373	106
778	374	106
779	374	105
780	374	105
781	375	104
782	375	104
783	376	103
784	376	103
785	377	102
786	377	102
787	377	101
788	378	101
789	378	100
790	379	100
791	379	99
792	379	99
793	380	98
794	380	98
795	380	97
796	381	97
797	381	96
798	382	96
799	382	95
800	382	95
801	383	94
802	383	94
803	384	93
804	384	93
805	384	92
806	385	92
807	385	91
808	385	91
809	386	90
810	386	90
811	387	89
812	387	89
813	387	88
814	388	88
815	388	87
816	389	87
817	389	86
818	390	86
819	390	85
820	391	85
821	391	84
822	391	84
823	392	83
824	392	83
825	392	82
826	393	82
827	393	81
828	394	81
829	394	80
830	394	80
831	395	79
832	395	79
833	396	78
834	396	78
835	396	77
836	397	77
837	397	76
838	397	76
839	398	75
840	398	75
841	399	74
842	399	74
843	399	73
844	400	73
845	400	72
846	401	72
847	401	71
848	401	71
849	402	70
850	402	70
851	403	70
852	403	69
853	404	69
854	404	68
855	404	68
856	405	67
857	405	67
858	406	66
859	406	66
860	406	65
861	407	65
862	407	64
863	408	64
864	408	63
865	408	63
866	409	62
867	409	62
868	410	61
869	410	61
870	410	60
871	411	60
872	411	59
873	411	59
874	412	58
875	412	58
876	413	57
877	413	57
878	413	56
879	414	56
880	414	56
881	415	55
882	415	55
883	415	54
884	416	54
885	416	53
886	417	53
887	417	52
888	417	52
889	418	51
890	418	51
891	419	50
892	419	50
893	420	49
894	420	49
895	420	48
896	421	48
897	421	47
898	422	47
899	422	46
900	422	46
901	423	45
902	423	45
903	424	45
904	424	44
905	424	44
906	425	43
907	425	43
908	426	42
909	426	42
910	426	41
911	427	41
912	427	40
913	428	40
914	428	39
915	428	39
916	429	38
917	429	38
918	430	37
919	430	37
920	431	36
921	431	36
922	431	36
923	432	35
924	432	35
925	432	34
926	433	34
927	433	33
928	434	33
929	434	32
930	434	32
931	435	31
932	436	31
933	436	30
934	437	30
935	437	29
936	438	29
937	438	28
938	438	28
939	439	28
940	439	27
941	440	27
942	440	26
943	441	26
944	441	25
945	441	25
946	442	24
947	442	24
948	443	23
949	443	23
950	443	22
951	444	22
952	444	21
953	444	21
954	445	20
955	445	20
956	446	20
957	446	19
958	446	19
959	447	18
960	447	18
961	448	17
962	448	17
963	448	16
964	449	16
965	449	15
966	450	15
967	450	14
968	450	14
969	451	13
970	451	13
971	451	13
972	452	12
973	452	12
974	453	11
975	453	11
976	453	10
977	454	10
978	454	9
979	454	9
980	455	8
981	455	8
982	456	7
983	456	7
984	457	6
985	457	6
986	457	6
987	458	5
988	458	5
989	458	4
990	459	4
991	459	3
992	460	3
993	460	2
994	460	2
995	461	1
996	461	1
997	462	0
998	462	0
999	462	0
