iter	RMSE
0	12.67308183
1	10.86108326
2	9.534217867
3	8.554108738
4	7.726429825
5	7.105455976
6	6.706702334
7	6.341277019
8	6.099616098
9	5.940142167
10	5.791673294
11	5.663179584
12	5.578991255
13	5.51532111
14	5.471435108
15	5.418416831
16	5.376341725
17	5.343312977
18	5.320082509
19	5.286880049
20	5.262396931
21	5.24551989
22	5.213998553
23	5.18602601
24	5.173859035
25	5.147771545
26	5.115228815
27	5.093191938
28	5.09174232
29	5.070388002
30	5.040325531
31	5.023323913
32	4.990887466
33	4.980721475
34	4.962653378
35	4.943555085
36	4.924904515
37	4.917135172
38	4.901104973
39	4.885856065
40	4.872113475
41	4.869587934
42	4.85221859
43	4.849030637
44	4.83408082
45	4.829900845
46	4.8055718
47	4.79066004
48	4.759815143
49	4.746190109
50	4.72879138
51	4.711882456
52	4.677272629
53	4.666308121
54	4.635523804
55	4.624496572
56	4.614118817
57	4.602142385
58	4.600475773
59	4.581706049
60	4.568654915
61	4.554296358
62	4.553050904
63	4.529053428
64	4.522330667
65	4.496391014
66	4.476449214
67	4.467947059
68	4.455635104
69	4.44246889
70	4.422374886
71	4.407447292
72	4.380332761
73	4.373904797
74	4.365885696
75	4.355717859
76	4.34844727
77	4.343877435
78	4.338402612
79	4.329353031
80	4.318199107
81	4.305703562
82	4.301315782
83	4.274094842
84	4.269255064
85	4.250885421
86	4.236086901
87	4.211020298
88	4.199786958
89	4.189206019
90	4.185223236
91	4.167484959
92	4.165904552
93	4.143192965
94	4.137485185
95	4.136124994
96	4.127524392
97	4.113531604
98	4.10411577
99	4.101341963
