iter	Passed	Remaining
0	63	63435
1	63	31872
2	64	21345
3	64	16081
4	64	12923
5	65	10821
6	65	9352
7	66	8221
8	66	7339
9	67	6633
10	67	6056
11	67	5579
12	68	5172
13	68	4830
14	68	4529
15	69	4267
16	69	4040
17	70	3838
18	70	3656
19	71	3491
20	71	3342
21	72	3207
22	72	3083
23	73	2970
24	73	2866
25	73	2771
26	74	2682
27	74	2599
28	75	2522
29	75	2451
30	76	2385
31	76	2322
32	77	2263
33	77	2208
34	78	2155
35	78	2105
36	79	2057
37	79	2012
38	79	1970
39	80	1929
40	80	1890
41	83	1904
42	85	1912
43	87	1909
44	88	1873
45	88	1837
46	90	1844
47	91	1811
48	92	1793
49	93	1773
50	95	1769
51	95	1742
52	98	1752
53	98	1725
54	98	1698
55	99	1672
56	99	1649
57	100	1637
58	104	1672
59	105	1651
60	105	1629
61	106	1607
62	106	1585
63	106	1563
64	107	1543
65	107	1522
66	107	1503
67	108	1481
68	109	1477
69	109	1461
70	110	1444
71	113	1466
72	114	1450
73	114	1435
74	115	1420
75	115	1405
76	117	1404
77	117	1390
78	118	1377
79	118	1363
80	118	1350
81	119	1338
82	120	1325
83	120	1312
84	120	1298
85	121	1286
86	121	1272
87	123	1283
88	124	1270
89	124	1258
90	127	1273
91	128	1263
92	128	1252
93	128	1240
94	129	1230
95	131	1233
96	131	1222
97	131	1212
98	132	1201
99	132	1191
100	132	1182
101	132	1170
102	133	1160
103	133	1151
104	134	1143
105	134	1134
106	134	1126
107	135	1117
108	135	1109
109	136	1100
110	136	1092
111	136	1083
112	137	1075
113	137	1067
114	137	1059
115	137	1051
116	138	1043
117	138	1036
118	138	1028
119	139	1021
120	139	1013
121	140	1008
122	140	1001
123	140	994
124	141	987
125	141	981
126	141	974
127	141	967
128	142	960
129	142	954
130	143	950
131	143	944
132	144	939
133	144	935
134	145	929
135	145	925
136	146	920
137	146	914
138	146	909
139	147	905
140	147	899
141	148	894
142	148	889
143	148	883
144	149	878
145	149	873
146	149	868
147	150	863
148	150	859
149	150	854
150	151	849
151	151	844
152	151	840
153	152	835
154	152	831
155	152	826
156	153	822
